Engagement	Location	Date	Result	Side 1	Leaders 1	Strength 1	Casualties 1	Side 2	Leaders 2	Strength 2	Casualties 2	Wikipedia Link
Operation Veritable	Klever Reichswald|Reichswald Forest (Germany), and adjacent areas	{{Age in years, months, weeks and days|month1|=|02|day1|=|08|year1|=|1945|month2|=|03|day2|=|10|year2|=|1945}}	Allied victory	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}	{{citation needed|date|=|July 2012}}	{{efn|First Canadian Army losses from "8 February ... to] ... 10 March were ... 1,049 officers and 14,585 other ranks; the majority of these were British soldiers". Canadian losses amounted to 379 officers and 4,925 other ranks, the vast majority being lost during Operation Blockbuster. Total allied losses in Operations Veritable/Blockbuster and Grenade amounted to 22,934 men.|ref| name="Stacey, p. 522"|Stacey, Chap 19, p. 522|}}	{{flag|Nazi Germany|name|=|Germany}}	{{flagicon|Nazi Germany}}	1,054 guns, 700 mortars	-{{efn|Canadian First Army captured 22,239 prisoners during the operation, and the intelligence section estimated the number of German soldiers killed or made "long--term wounded" to have amounted to 22,000 men. In conjunction with Operation Grenade, the combined allied effort inflicted approximately 90,000 casualties on the German army.|ref| name="Stacey, p. 522"}}-	https://en.wikipedia.org/wiki/Operation_Veritable
Operation Grenade	Rhineland (Germany)	{{Age in years, months, weeks and days|month1|=|02|day1|=|23|year1|=|1945|month2|=|03|day2|=|10|year2|=|1945}}	American victory	{{flag|United States|1912}}	{{flagicon|United States|1912}}	{{sfn|Clodfelter|2017|p|=|479}}	{{sfn|Clodfelter|2017|p|=|479}}	{{flagicon|Germany|Nazi}}	{{flagicon|Germany|Nazi}}	54,000 men, 180 tanks	{{efn|Ninth Army captured 29,739 prisoners during the operation, and estimated to have inflicted 16,000 other casualties on the German army. In conjunction with Operation Veritable/Blockbuster, the combined allied effort inflicted approximately 90,000 casualties on the German army.|ref| name=a|Stacey, p. 522|}}	https://en.wikipedia.org/wiki/Operation_Grenade
Battle of Remagen	-Remagen, Rhineland--Palatinate, Germany-	7–25 March 1945	Allied victory* Allies secure intact bridge over Rhine	{{flag|United States|1912}}	{{flagicon|United States|1912}}	First Army (United States)|1st Army		{{flag|Nazi Germany|name|=|Germany}}	{{flagicon|Nazi Germany}}	7th Army (Wehrmacht)|7th Army		https://en.wikipedia.org/wiki/Battle_of_Remagen
Operation Lumberjack	-Remagen, Rhineland--Palatinate, Germany-	1–25 March 1945	Allies of World War II|Allied victory	{{flag|United States|1912}}	{{flagicon|United States|1912}}	First United States Army|1st Army		{{flag|Nazi Germany|name|=|Germany}}	{{flagicon|Nazi Germany}}	7th Army (Wehrmacht)|7th Army		https://en.wikipedia.org/wiki/Operation_Lumberjack
Western Allied invasion of Germany	Western Germany, Southern Germany	22 March – 8 May 1945	Decisive Allies of World War II|Allied victory* Fall of Nazi Germany* End of World War II in Europe (concurrently with the Eastern Front (World War II)|Eastern Front)	{{flag|United States|1912}}	{{flagicon|United States|1912}}	{{sfn|MacDonald|2005|p|=|322}}	{{sfn|Dept of the Army|1953|p|=|92}}	{{flagicon|Nazi Germany}}	{{KIA}}	{{sfn|Glantz|1995|p|=|304}}	-up to 410,000 battle deaths, deaths from other causes and missingRef* US General George Marshall estimated about 263,000 German battle deaths on the Western Front for the period from 6 June 1944 to 8 May 1945, or a longer period (http://www.history.army.mil/html/books/070/70--57/index.html George C Marshall, ''Biennial reports of the Chief of Staff of the United States Army to the Secretary of War : 1 July 1939--30 June 1945.'' Washington, DC : Center of Military History, 1996. Page 202]). * West German military historian Burkhart M&#252;ller--Hillebrand (''Das Heer 1933&#8211;1945'' Vol 3. Page 262) estimated 265,000 dead from all causes and 1,012,000 missing and prisoners of war on all German battlefronts from Jan 1, 1945 -- April 30, 1945. No breakdown of these figures between the various battlefronts was provided. * US Army historian Charles B. MacDonald (''The European Theater of Operations: The Last Offensive'', Center of Military History, United States Army, Washington D.C., 1993, page 478) holds that ''"exclusive of prisoners of war, all German casualties in the west from D--day to V&#8211;E Day probably equaled or slightly exceeded Allied losses"''. In the related footnote he writes the following: ''"The only specific figures available are from OB WEST for the period 2 June 1941&#8211;10 April 1945 as follows: Dead, 80,819; wounded, 265,526; missing, 490,624; total, 836,969. (Of the total, 4,548 casualties were incurred prior to D--day.) See Rpts, Der Heeresarzt im Oberkommando des Heeres Gen St d H/Gen Qu, Az.: 1335 c/d (IIb) Nr.: H.A./263/45 g. Kdos. of 14 Apr 45 and 1335 c/d (Ilb) (no date, but before 1945). The former is in OCMH X 313, a photostat of a document contained in German armament folder H 17/207; the latter in folder 0KW/1561 (OKW Wehrmacht Verluste). These figures are for the field army only, and do not include the Luftwaffe and Waffen--SS. Since the Germans seldom remained in control of the battlefield in a position to verify the status of those missing, a considerable percentage of the missing probably were killed. Time lag in reporting probably precludes these figures&#8217; reflecting the heavy losses during the Allied drive to the Rhine in March, and the cut--off date precludes inclusion of the losses in the Ruhr Pocket and in other stages of the fight in central Germany."''  * German military historian R&#252;diger Overmans (''Deutsche milit&#228;rische Verluste im Zweiten Weltkrieg'', Oldenbourg 2000, pp.265--272) claims, based on extrapolations from a statistical sample (see German casualties in World War II), that the German armed forces suffered 1,230,045 deaths in the "Final Battles" on the Eastern and Western Fronts from January to May 1945. This figure is broken down as follows (p. 272): 401,660 fallen, 131,066 dead from other causes, 697,319 missing. The number of missing obviously includes soldiers who fell into captivity and died there, possibly months or years later. (The number of deaths in captivity calculated by Overmans is about 459,000, thereof 363,000 in Soviet captivity (p. 286). Overmans&#8217; figure of deaths in Soviet captivity is about 700,000 lower than the number (ca. 1,094,000) established between 1962 and 1974 by a German government commission, the Maschke Commission. Overmans (pp. 288f.) considers it "plausible, though not provable" that these additional 700,000 perished in Soviet captivity.) Nevertheless, Overmans claims (pp. 275, 279) that all 1,230,045 deaths occurred during the period from January to May 1945. He states that about 2/3 of these deaths occurred on the Eastern Front (World War II)|Eastern Front, without explaining how he arrived at this proportion (according to Table 59 on p. 277, there were 883,130 deaths on the Eastern Front between June and December 1944, and according to Table 53 on p. 266 there were 244,891 deaths on the Western Front in the whole of 1944; the relation between these two figures is 78.29% in the East vs. 21.71% in the West). This would leave 410,000 deaths attributable to the Western Allied invasion between January and May 1945.&lt;/ref&gt;, 3,000,000+ capturedrefR&#252;diger Overmans, Soldaten hinter Stacheldraht. Deutsche Kriegsgefangene des Zweiten Weltkriege. Ullstein Taschenbuchvlg., 2002. German POWs in Allied hands in the west are listed as numbering 920,000 in the first quarter of 1945. German POWs in the west numbered 4,209,840 by the time Germany surrendered (see Disarmed Enemy Forces). This would mean ~3.3 million German soldiers were captured from late March to early May.&lt;/ref&gt;-	https://en.wikipedia.org/wiki/Western_Allied_invasion_of_Germany
Operation Undertone	75 km sector between Saarbrücken and Hagenau	15–24 March 1945	Allied victory	{{flag|United States|1912}}	{{flagicon|United States|1912}}		12,887 (est.)	{{flagicon|Nazi Germany}}	{{flagicon|Nazi Germany}}		22,000 (POW)	https://en.wikipedia.org/wiki/Operation_Undertone
Operation Plunder	-Lower Rhine region, then Rhine Province, today North Rhine--Westphalia, Germany-	-March 23--24, 1945-	Allies of World War II|Allied victory	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}			{{flagcountry|Nazi Germany}}	Johannes Blaskowitz			https://en.wikipedia.org/wiki/Operation_Plunder
Operation Varsity	Wesel, Germany	24 March 1945	Allies of World War II|Allied victory	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}	{{#tag:ref|6th Airborne landed 7,220 men, 17th Airborne landed 9,650 men.|ref| name="Ellis, p. 291"|Ellis, p. 291||group|=|"Note"}}	-{{#tag:ref|Ellis puts 6th Airborne Division (United Kingdom)|British 6th Airborne Division losses as 1,400 dead, wounded or captured and places the 17th Airborne Division (United States)|U.S. 17th Airborne Division losses as 1,300 dead, wounded or captured.|ref| name="Ellis, p. 291"| The official Parachute Regiment (United Kingdom)|Parachute Regiment website places 6th Airborne losses at 1,078 killed or wounded.|ref|{{cite web|url=http://www.army.mod.uk/para/history/rhine.htm |archiveurl=https://web.archive.org/web/20060803032605/http://www.army.mod.uk/para/history/rhine.htm |archivedate=3 August 2006 |title=Operation Varsity -- The Rhine Crossing |accessdate=2010--01--26 |author=The Parachute Regiment |date=2004--03--26 |publisher=Ministry of Defense |deadurl=yes |df= }}||group|=|"Note"}}-	{{flagcountry|Nazi Germany}}	File:Flag of Germany 1933.svg|22px Günther Blumentritt	{{#tag:ref|Otway claims that Allied intelligence placed 7 Parachute Division and 84 Infantry Division at around 4,000 men each after having suffered heavy casualties in previous campaigns, these being the two German formations facing the Allied airborne forces.|ref| name="Otway 299"|group|=|"Note"}}	Unknown total casualties3,500 capturedref name="Ellis, p. 291"	https://en.wikipedia.org/wiki/Operation_Varsity
Battle of Heilbronn (1945)	Heilbronn, Germany	4–12 April 1945	American victory	{{flag|United States|1912}}	{{flagicon|United States|1912}}		-422 casualties, 60 KIA, 250 WIA, and 112 MIA (100th Division)refhttp://www.americainwwii.com/pdfs/stories/heilbronn--one--last--place--to--die.pdf americainwwii.com]&lt;/ref&gt;-	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}		1,500 POW as well as others killed and wounded	https://en.wikipedia.org/wiki/Battle_of_Heilbronn_(1945)
Ruhr Pocket	Ruhr Area, Germany	7 March – 21 April 1945	Allies of World War II|Allied victory	{{flagicon|United States|1912}}	{{flagicon|United States|1912}}	{{circa}}	Unkown	{{flagicon|Nazi Germany}}	{{flagicon|Nazi Germany}}	370,000, of which 75,000 armed.	-10,000 casualties (including civilians), 317,000 capturedrefZaloga, Steve, and Dennis, Peter (2006). Remagen 1945: endgame against the Third Reich. Oxford: Osprey Publishing. {{ISBN|1--84603--249--0}}. Page 87.&lt;/ref&gt;-	https://en.wikipedia.org/wiki/Ruhr_Pocket
Operation Amherst	Drenthe, Netherlands	7–8 April 1945	Allied victory	{{flagicon|France}}	{{flagicon|United Kingdom}}	{{flagicon|France}}	-34 killed, 60 wounded, 69 POWsrefhttp://www.go2war2.nl/artikel/2621/Operation--Amherst.htm?page=7 Operation Amherst-- Execution of the operation]&lt;/ref&gt;-	{{flagicon|Nazi Germany}}		Elements of the 25th Army (Wehrmacht)|25th Army	-Roughly 300 killed or wounded,  187 capturedrefhttp://www.go2war2.nl/artikel/2621/Operation--Amherst.htm?page=7 Operation Amherst-- Execution of the operation]&lt;/ref&gt;-	https://en.wikipedia.org/wiki/Operation_Amherst
