Side 1,Leaders 1,Strength 1,Casualties 1,Side 2,Leaders 2,Strength 2,Casualties 2
{{flagicon|Netherlands}},{{flagicon|Netherlands}},"225 soldiers inside series of fortressesref name=""Dutch History Site""http://www.waroverholland.nl/index.php?url=/summary_day_4_10.html War over Holland - May 1940: the Dutch struggle]&lt;/ref&gt;1 HNLMS Johan Maurits van Nassau|gunboat","1 killed2 wounded2 civilians killed10 civilians woundedref name=""Dutch History Site 2""http://www.waroverholland.nl/summary_day_4_10.html Five days of war War over Holland - May 1940: the Dutch struggle]{{dead link|date=October 2016 |bot=InternetArchiveBot |fix-attempted=yes }}&lt;/ref&gt;",{{flagicon|Nazi Germany}},{{flagicon|Nazi Germany}},"500+ soldiers (1st Cavalry Division)69 aircrafthowitzersref name=""Dutch History Site""","5+ killed25+ wounded4 aircraft shot downref name=""Dutch History Site 2"""
{{flagicon|Netherlands}},,"No remaining operational fighter aircraftrefDe luchtverdediging mei 1940, by F.J. Molenaar. The Hague, 1970.&lt;/ref&gt;",{{sfn|Hooton|2007|p|=|79}},{{flagicon|Nazi Germany}},{{flagicon|Nazi Germany}},"~80 aircraft directly involved, ~700 involved in concurrent operations",None
{{flag|Belgium}},{{flagicon|Belgium}},{{efn|name|=|Divisions}},{{efn|name|=|Men lost}},{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},{{sfn|Holmes|2001|p|=|324}},{{efn|name|=|German casualties}}
{{flag|Nazi Germany}},{{flagicon|Nazi Germany}},"493ref name=Luc22Lucas, p. 22&lt;/ref&gt;","44 killed, 99 woundedrefKuhn, pp. 31&#8211;32&lt;/ref&gt;ref name=Har55Harclerode, p. 55&lt;/ref&gt;",{{flag|Belgium}},{{flagicon|Belgium}},"1,200+ (estimated)","{{#tag:ref|This figure only refers to casualties and prisoners at Fort Eben-Emael. Belgian casualties taken during fighting at the three bridges is unknown.|ref|Harclerode, p. 55.||group|=|""Notes""}}"
{{flagicon|France}},{{flagicon|France}},"'''2 armoured divisions'''20,800 personnel 600 Armoured fighting vehicle|AFVs ref name=""Gunsburg 1992, p. 210""{{Harvnb|Gunsburg|1992|p=210}}&lt;/ref&gt;ref group=""Notes""Gunsburg gives these numbers: 2nd DLM: 400 officers, 10,000 men, 300 AFVs &lt;br /&gt; 3rd DLM: some 400 officers,10,000 men, 300 AFVs&lt;/ref&gt;","121 tanks destroyed/damaged or abandonedref name=""Gunsburg 1992 236""{{Harvnb|Gunsburg|1992|p=236}}&lt;/ref&gt;, personnel: unknown",{{flagicon|Nazi Germany}},{{flagicon|Nazi Germany}},"'''2 Panzer divisions''', 25,927 personnel ,  618 tanks (some sources say 674)ref{{Harvnb|Battistelli|Anderson|2007|p=75}}&lt;/ref&gt;108 artillery pieces ref name=""Gunsburg 1992, p. 210""ref group=""Notes""Gunsburg gives these numbers, including ''Befehlspanzer'': 3rd Panzer Division: 400 officers, 13,187 men, 343 tanks, 48 artillery pieces,&lt;br /&gt; 4th Panzer Division: 335 officers, 12,005 men, 331 tanks, 60 artillery pieces&lt;/ref&gt;,  1,252 aircraft","60 killed ,  80 wounded ,  49 tanks destroyed, 111 tanks damaged ref{{Harvnb|Gunsburg|1992|p=237}}&lt;/ref&gt;"
{{flagicon|France}},{{flagicon|France}},3 motorised divisions3 infantry divisions,"AFV unknown~ 2,000 killed, wounded and missing, /III Corps; a few hundred casualtiesref name=""Gunsberg 2000, pp. 137-138""Gunsberg 2000, pp. 137&#8211;138.&lt;/ref&gt;",{{flagicon|Nazi Germany}},{{flagicon|Nazi Germany}},2 ''panzer'' divisions3 infantry divisions,"unclear33–37 percent of German tank strength lost304 killed413 wounded29 missingIV Corps, a few hundred casualties.ref name=""Gunsberg 2000, p. 137""Gunsberg 2000, p. 137.&lt;/ref&gt;"
{{flag|Luxembourg}},{{flagicon|Luxembourg}},"'''Luxembourg:''', 425 soldiers246 gendarmes'''France:'''18,000 troops, '''United Kingdom:'''No. 226 Squadron RAF","'''Luxembourg:'''1 soldier wounded22 soldiers captured, 6 gendarmes wounded, 54 gendarmes captured'''France:'''5 Spahis killed'''United Kingdom:''' 1 pilot killed, 2 pilots captured, 1 aircraft destroyed",{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},"~50,000 soldiers600 tanks",Unknown
{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},"{{efn|Hooton uses the Bundesarchiv, Militärarchiv in Freiburg. ''Luftwaffe'' strength included gliders and transports used in the assaults on the Netherlands and Belgium.|ref| name=""Hooton 2007, pp. 47–48""|Hooton 2007, pp. 47–48|}}","{{efn|The final count of the German dead is possibly as high as 49,000 men when including the losses suffered by the ''Kriegsmarine'', because of additional non-combat causes, the wounded who died of their injuries and the missing who were confirmed as dead.|ref| name= f95| This higher figure has not been used in the overall casualty figure}}",{{flagicon|FRA}},{{flagicon|FRA}},{{sfn|Zaloga|2011|p|=|73}},"{{efn|Steven Zaloga notes that ""According to a postwar French Army study, overall French tank losses in 1940 amounted to 1,749 tanks lost out of 4,071 engaged, of which 1,669 were lost to gunfire, 45 to mines and 35 to aircraft. This amounts to about 43 percent. French losses were substantially amplified by the large numbers of tanks that were abandoned or scuttled by their crews"".|sfn|Zaloga|2011|p|=|73}}"
{{Flagdeco|France}},{{Flagdeco|France}},"20,000 men300 tanks174 artillery piecesref name=""Frieser 2005, p. 158""Frieser 2005, p. 158.&lt;/ref&gt;152 bombersref name=""Frieser 2005, p. 179""Frieser 2005, p. 179.&lt;/ref&gt;ref name=""Healy 2007, p. 56"" 250 fightersref name=""Frieser 2005, p. 179""ref name=""Healy 2007, p. 56""","manpower losses unknownartillery losses unknowntank losses unknown167 aircraftref name=""Frieser 2005, p. 181""",{{Flagdeco|Nazi Germany}},{{Flagdeco|Nazi Germany}},"60,000 menref name=""Frieser 2005, p. 157""Frieser 2005, p. 157.&lt;/ref&gt;41,000 vehiclesrefKrause and Cody 2006, p. 171.&lt;/ref&gt;771 tanksref name=""Healy 2007, p. 44""Healy 2007, p. 44.&lt;/ref&gt;1,470 aircraftref name=""Frieser 2005, p. 158""141 artillery piecesref name=""Frieser 2005, p. 158""96 rubber boats","120 killed400 wounded (12–14 May)ref name=""Frieser 2005, p. 196""647 killed or wounded (15–17 May)ref name=""Frieser 2005, p. 210""Frieser 2005, p. 210.&lt;/ref&gt;at least 81 rubber boatsref name=""Frieser 2005, p. 168"""
{{flag|France}},{{flagicon|France|23px}},4e Division cuirassée,14 killed9 missing6 wounded23 tanks disabled. destroyed or abandoned,{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany|23px}},1st Panzer Division (Wehrmacht)|1st Panzer Division,100 killed
{{flagcountry|French Third Republic}},{{flagicon|French Third Republic}},,{{circa|275}},{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},,{{circa|200}}
{{Flag icon|France}},{{Flag icon|France}},"120 fightersref name=""Hooton 2007, p. 84""","35 aircraft (31 fighters), 906 casualties, 254 dead, (166 were servicemen)ref name=""Hooton 2007, p. 84""",{{Flag icon|Nazi Germany}},{{Flag icon|Nazi Germany}},"1,100 aircraft (460 fighters)","10 aircraft (four bombers)ref name=""Hooton 2007, p. 84"""
{{flag|United Kingdom}},{{flagicon|United Kingdom}},"approx. 400,000 338,226 evacuatedref{{cite web |url=http://www.historyofwar.org/articles/operation_dynamo.html#5 |title=Operation Dynamo, the evacuation from Dunkirk, 27 May&#8211;4 June 1940 |publisher=Rickard, J &#8211; Military History Encyclopedia on the Web |date=February 16, 2008 |accessdate=December 5, 2016 |deadurl=no |archiveurl=https://web.archive.org/web/20161217050437/http://www.historyofwar.org/articles/operation_dynamo.html#5 |archivedate=17 December 2016 |df=dmy-all }}&lt;/ref&gt;","* Allies18,000 Killed (British and French soldiers especially with some Canadians and Belgians) * British The loss : 68,111 (killed, wounded or captured) ~3,500 killed 63,879 vehicles including tanks and motorcycles2,472 field guns, 6 destroyersover 200 marine vesselsover 100 aircraftref{{cite web|url=http://militaryhistory.about.com/od/worldwarii/p/dunkirk.htm|title=Evacuation of Dunkirk: Miracle on the Channel|publisher=|deadurl=no|archiveurl=https://web.archive.org/web/20161218062818/http://militaryhistory.about.com/od/worldwarii/p/dunkirk.htm|archivedate=18 December 2016|df=dmy-all}}&lt;/ref&gt;ref{{cite web|url=http://www.guidedbattlefieldtours.co.uk/education/battle-france-dunkirk-evacuation-may-june-1940/|title=The Battle for France and the Dunkirk Evacuation May&#8211;June 1940|website=guidedbattlefieldtours.co.uk|publisher=|deadurl=no|archiveurl=https://web.archive.org/web/20161226222201/http://www.guidedbattlefieldtours.co.uk/education/battle-france-dunkirk-evacuation-may-june-1940/|archivedate=26 December 2016|df=dmy-all}}&lt;/ref&gt;* French35,000 captured3 destroyersref{{cite web |url=http://www.bbc.co.uk/pressoffice/pressreleases/stories/2004/02_february/03/dunkirk_facts_figures.shtml |title=Dunkirk facts &amp; figures |publisher=BBC |deadurl=no |archiveurl=https://web.archive.org/web/20170205201320/http://www.bbc.co.uk/pressoffice/pressreleases/stories/2004/02_february/03/dunkirk_facts_figures.shtml |archivedate=5 February 2017 |df=dmy-all }}&lt;/ref&gt;ref{{cite web|url=http://www.secondworldwarhistory.com/rescue-at-dunkirk.asp|title=Timeline of the Dunkirk Evacuation (May 27th, 1940 - June 4th, 1940)|publisher=|deadurl=no|archiveurl=https://web.archive.org/web/20161226221306/http://www.secondworldwarhistory.com/rescue-at-dunkirk.asp|archivedate=26 December 2016|df=dmy-all}}&lt;/ref&gt;ref{{cite web |url=http://www.slate.fr/story/148845/nolan-dunkerque-francais-lecon-histoire |title=Archived copy |accessdate=2017-07-27 |deadurl=no |archiveurl=https://web.archive.org/web/20170723182553/http://www.slate.fr/story/148845/nolan-dunkerque-francais-lecon-histoire |archivedate=23 July 2017 |df=dmy-all }}&lt;/ref&gt;",{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},"approx. 800,000","* (Estimated)20,000 killed and wounded100 tanks156 aircraftrefhttp://www.historytoday.com {{webarchive|url=https://web.archive.org/web/20080704123435/http://www.historytoday.com/ |date=4 July 2008 }}&lt;/ref&gt;"
{{flagicon|FRA}},{{flagicon|France}},"~180,000 total, (85,000 at the front)","~240 battle casualties, 1 destroyer damaged, 1 sloop damaged",{{flagicon|Italy|1861}},{{flagicon|Italy|1861}},"300,000 total","~3,880 battle casualties, 2,151 frostbite victims, 1 submarine destroyed"
{{Flagcountry|United Kingdom}},{{Flagicon|United Kingdom}},"{{refn|754 single-seat fighters, 149 two-seat fighters, 560 bombers and 500 coastal aircraft. The RAF fighter strength given is for 0900 1 July 1940, while bomber strength is for 11 July 1940.|ref| name = ""Bungay p. 107""|group|=|nb}}","{{refn|1,220 fighters (per type: 753 Hurricane, 467 Spitfire)|ref|{{harvnb|Overy|2001|p=161}}|| 376 bombers, 148 aircraft (RAF Coastal Command)|ref| name=""Bungay p. 368""| |group|=|nb}}",{{Flagcountry|Nazi Germany}},{{Flagicon|Nazi Germany}},"{{refn|Figures taken from Quartermaster General 6th Battalion returns on 10 August 1940. According to these, the ''Luftwaffe'' deployed 3,358 aircraft against Britain, of which 2,550 were serviceable. The force was made up by 934 single-seat fighters, 289 two-seat fighters, 1,482 medium bombers, 327 dive-bombers, 195 reconnaissance and 93 coastal aircraft, including unserviceable aircraft. The number of ''serviceable'' aircraft amounted to 805 single-seat fighters, 224 two-seat fighters, 998 medium bombers, 261 dive-bombers, 151 reconnaissance and 80 coastal aircraft.|ref| name=""Wood and Dempster 2003, p. 318.""|Wood and Dempster 2003, p. 318.|| group |=| nb}}","{{refn|812 fighters (per type: 569 Bf 109, 243 Bf 110), 822 bombers (per type: 65 Ju 87, 271 Ju 88, 184 Do 17, 223 He 111, 29 He 59, 24 He 159, 34 Others) ,  343 non combat (per type: 76 Bf 109, 29 Bf 110, 25 Ju 87, 54 Ju 88, 31 Do 17, 66 He 111, 7 He 59, 7 He 159, 48 Others)|ref| name=""ReferenceA""}}"
{{flag|United Kingdom}},{{flagicon|United Kingdom}},,'''RAF''':115 fighter aircraft|fighters destroyed42 fighters damaged71 pilots killed in action19 pilots wounded in action4 pilots missing in action'''Royal Navy''':35 merchant ships sunk(including neutral ships)7 fishing vesselsseveral naval vessels4 destroyersat least 176 sailors killed~300 casualties,{{flag|Nazi Germany}},{{flagicon|Nazi Germany}},,'''Luftwaffe''':80 fighter aircraft|fighters destroyed36 fighter aircraft damaged22 Dive bombers destroyed22 dive bombers damaged100 medium bombers destroyed33 medium bombers damaged13 naval aircraft destroyed1 naval aircraft damaged201 airmen killed75 airmen wounded277 missing16 airmen prisoner of war|captured'''Kriegsmarine''':~4
{{flag|United Kingdom}},Hugh DowdingKeith ParkCharles Portal,,"Fighter Command: 13 fighters (air)ref name=""Bungay 2000, p371""Bungay 2000, p. 371.&lt;/ref&gt;1 fighter (ground)ref name=""Bungay 2000, p211""Bungay 2000, p. 211.&lt;/ref&gt;3 fighter pilots killedref name=""Bungay 2000, p211""Bungay 2000, p. 211.&lt;/ref&gt;RAF Bomber Command:11 bombers (air)ref name=""Bungay 2000, p211""Bungay 2000, p. 211.&lt;/ref&gt;24 aircrew killedref name=""Bungay 2000, p211""Bungay 2000, p. 211.&lt;/ref&gt;9 capturedref name=""Donnelly 2004, p88&#8211;89""Donnelly 2004, pp. 88&#8211;89.&lt;/ref&gt;Other:47 miscellaneous aircraft (ground)ref name=""Bungay 2000, p211""Bungay 2000, p. 211.&lt;/ref&gt;c. several hundred civiliansrefhttp://www.cwgc.org/find-war-dead.aspx?cpage=1 Note excluding 4 casualties from Australia; the Commonwealth War Graves Commission lists only 25 Civilian casualties 13 August 1940]&lt;/ref&gt;",{{flag|Nazi Germany}},Hermann GöringAlbert KesselringHugo Sperrle,,"47ref name=""Bungay 2000, p371""Bungay 2000, p. 371.&lt;/ref&gt;refTaylor and Moyes 1968, p. 23.&lt;/ref&gt;–48ref name=""Hough and Richards 2007, p162""Hough and Richards 2007, p. 162.&lt;/ref&gt; aircraft destroyed (air)39 severely damagedref name=""Hough and Richards 2007, p162""circa 200 killed or captured including:44 killed 23 wounded at least 45 missingrefMason 1969, pp. 240&#8211;243.&lt;/ref&gt;"
{{flagicon|United Kingdom}},{{flagicon|United Kingdom}},,"27ref name=""Addison and Crang 2000, p. 59.""Addison and Crang 2000, p. 59.&lt;/ref&gt;–34 fighters destroyedref name=""Bungay 2000, p. 231.""Bungay 2000, p. 231.&lt;/ref&gt;39 fighters damagedref name=""Bungay 2000, p. 231.""29 aircraft destroyed (ground)ref name=""Bungay 2000, p. 231.""including only eight fightersref name=""Franks 1997, pp. 59&#8211;60""Franks 1997, pp. 59&#8211;60.&lt;/ref&gt;23 aircraft damaged (ground)ref name=""Bungay 2000, p. 231.""10 killedref name=""Price 2010, p. 228.""Price 2010, p. 228.&lt;/ref&gt;8 lightly woundedref name=""Price 2010, p. 228.""11 severely woundedref name=""Price 2010, p. 228.""",{{flagicon|Nazi Germany}},{{flagicon|Nazi Germany}},,"69ref name=""Bungay 2000, p. 231.""–71ref name=""Addison and Crang 2000, p. 59."" aircraft destroyed31 aircraft damagedref name=""Bungay 2000, p. 231.""94 killedref name=""Price 2010, p. 226.""Price 2010, p. 226.&lt;/ref&gt;40 capturedref name=""Price 2010, p. 226.""25 woundedref name=""Price 2010, p. 226."""
{{flag|United Kingdom}},{{flagicon|United Kingdom}},"50,000 observersrefCollier 1980, p. 196.&lt;/ref&gt;630 fighter aircraftref name=""Bungay 2000, p. 319.""Bungay 2000, p. 319.&lt;/ref&gt;","29 aircraft destroyedref name=""Terraine 1985, p. 211.""Terraine 1985, p. 211.&lt;/ref&gt;, ~ 21 damagedref name=""Price 1990, p. 106""Price 1990, p. 106.&lt;/ref&gt; 14ref name=""Bungay 2000, p. 333.""Bungay 2000, p. 333.&lt;/ref&gt;–16 killedref name=""Terraine 1985, p. 211.""14 woundedref name=""Bungay 2000, p. 333.""1 capturedref name=""Bungay 2000, p. 333.""",{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},"1,120 aircraft (620 fighters and 500 bombers)ref name=""Bungay 2000, p. 319.""","57refKillen 2003, p. 147.&lt;/ref&gt;–61ref name=""Terraine 1985, p. 211."" aircraft destroyed 20 severely damagedref name=""Overy 2001, p. 86""Overy 2001, p. 86.&lt;/ref&gt;, 63–ref name=""Price 1990, pp. 154&#8211;163""Price 1990, pp. 154&#8211;163.&lt;/ref&gt; 81 killedref name=""Bungay 2000, p. 333.""63ref name=""Bungay 2000, p. 333.""–65 capturedref name=""Price 1990, pp. 154&#8211;163""30ref name=""Price 1990, pp. 154&#8211;163""–31 woundedref name=""Bungay 2000, p. 333.""21 missingref name=""Price 1990, pp. 154&#8211;163"""
{{flagcountry|UK}},Captain (British Army and Royal Marines)|Captain John Cantopher,1 Company,none,{{flag|Germany|Nazi}},''Unteroffizier'' Fritz Ruhlandt,"4 crew, aircraft machine guns",1 wounded  of 4 taken prisoner
{{Flagcountry|United Kingdom}},{{plainlist |* |flagicon|United Kingdom| '''Winston Churchill'''* |flagicon|United Kingdom| Hugh Dowding* |flagicon|United Kingdom| Frederick Pile* |flagicon|United Kingdom| Owen Tudor Boyd* |flagicon|United Kingdom| Sir Leslie Gossage}},,"~40,000ref name=""Richards 1954, p. 217.""–43,000 civilians dead,ref name=""Foot and Dear 2005, p. 109."" ~46,000 injured figures for wounded possibly as high as 139,000ref name=""Foot and Dear 2005, p. 109.""",{{Flagcountry|Nazi Germany}},{{plainlist |* |flagicon|Nazi Germany| '''Adolf Hitler'''* |flagicon|Nazi Germany| Hermann Göring* |flagicon|Nazi Germany| Hugo Sperrle* |flagicon|Nazi Germany| Albert Kesselring* |flagicon|Nazi Germany| Hans Jeschonnek}},,"Unknown3,363 aircrew2,265 aircraft (Summer 1940&nbsp;– May 1941)ref name=""Hooton 2010, p. 89."""
{{flag|Nazi Germany}},{{flagicon|Nazi Germany|naval}},2 battleships1 heavy cruiser6 destroyers14 torpedo boats26 E-boats32 bombers252 fighters,2 battleships damaged1 destroyer damaged1 destroyer lightly damaged2 torpedo boats lightly damaged22 aircraft destroyed13 sailors dead2 sailors wounded23 aircrew killed,{{UK}},{{flagicon|UK|naval}},{{circa|450}},1 destroyer severely damaged42 aircraft destroyed40 dead and missing21 wounded
{{Flag|United Kingdom}},{{Flag icon|United Kingdom}},~450 aircraft,"41 aircraftref name=""Hooton 1994, p. 116.""Hooton 1994, p. 116.&lt;/ref&gt;",{{Flag|Nazi Germany}},{{Flag icon|Nazi Germany}},"252 Bf 109 and Fw 190 fightersref name=""Caldwell 1996, p. 204""Caldwell 1996, p. 204.&lt;/ref&gt;ref name=""Weal 1996, p. 15.""Weal 1996, p. 15.&lt;/ref&gt;30 Bf 110 Heavy fightersref name=""Weal 1996, p. 15.""Weal 1996, p. 15.&lt;/ref&gt;32 Dornier Do 217s","17 fighters5 bombers23 airmen killedref name=""Hooton 1994, p. 116.""Hooton 1994, p. 116.&lt;/ref&gt;"
{{flag|United Kingdom}},{{flagicon|United Kingdom}},{{#tag:ref|Sources differ on the numbers. In the ''London Gazette'' account of the raid the Admiralty states there were 353 Royal Navy and 268 Commandos.|ref| name=after|{{London Gazette|issue=38086|date=30 September 1947|pages=4633–4640|supp=y}}||group|=|nb}},HMS ''Campbeltown'' 169 dead *215 prisoners of war *1 Motor Gun Boat1 Motor Torpedo Boat13 Motor Launches1 Armstrong Whitworth Whitley1 Bristol Beaufighter,{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},"5,000 troops",Normandie dock360 dead ^2 Junkers 882 Tanker (ship)|Tankers2 Tugs
{{flag|United Kingdom}},{{flagicon|UK}},,"{{plainlist |* '''Bomber Command'''* 2,690 crewmen Killed in action|KIA ""''over Berlin''""* nearly 1,000 POW* 500 aircraft|sfn|Oakman|2004| a 5.8% loss rate  }}",{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},,"{{plainlist |* ~4,000 killed* 10,000 injured* 450,000 homeless  }}"
{{plainlist |* '''Allies of World War II|Western Allies'''* |flag|United States|1912|* |flag|United Kingdom|* |flag|Canada|1921|* |flagicon|Free French| Free French Forces* |flagicon|Poland| Polish Armed Forces in the West|Polish Forces|sfn|Beevor|2009|p|=|82|* |flagicon|Free French| French Resistance* |flag|Australia|* |flagicon|Belgium| Free Belgian Forces|sfn|Williams|1988|p|=|x|* |flagicon|Czechoslovakia| Czechoslovak government-in-exile|Free Czechoslovak Forces|sfn|Beevor|2009|p|=|492|* |flagicon|Greece|royal| Greek government-in-exile|Free Greek Forces|sfn|US Navy website|* |flagicon|Luxembourg| Free Luxembourgish forces|Free Luxembourgish Forces|sfn|Luxembourg Army website|* |flagicon|Netherlands| Dutch government-in-exile|Free Dutch Forces|sfn|Williams|1988|p|=|x|* |flag|New Zealand|sfn|Beevor|2009|p|=|76|* |Flagicon|Norway| Nygaardsvold's Cabinet|Free Norwegian Forces|sfn|Beevor|2009|p|=|82|}},"{{plainlist |* |flagicon|United States|1912| Dwight D. Eisenhower(Supreme Allied Commander)* |flagicon|United Kingdom| Arthur Tedder, 1st Baron Tedder|Arthur Tedder(Deputy Supreme Allied Commander)* |flagicon|United Kingdom| Bernard Montgomery(Ground Forces Commander in Chief)* |flagicon|United Kingdom| Trafford Leigh-Mallory(Air Commander in Chief)* |flagicon|United Kingdom| Bertram Ramsay(Naval Commander in Chief)}}","{{plainlist |* 1,452,000 troops (by 25 July)|efn|name|=|Allied strength|* 2,052,299 (by the end of August)|sfn|Badsey|1990|p|=|85|}}","{{plainlist |* 226,386 casualties|sfn|Tamelander|Zetterling|2003|p|=|341|efn|name|=|Allied air casualties|* 4,101 aircraft|sfn|Tamelander|Zetterling|2003|p|=|341|* ~4,000 tanks|sfn|Tamelander|Zetterling|2003|p|=|342|}}",{{flagcountry|Nazi Germany|1935}},{{plainlist |* |flagicon|Nazi Germany|1935| Gerd von Rundstedt (''OB West|Oberbefehlshaber West'')* |flagicon|Nazi Germany|1935| Erwin Rommel (Army Group B)}},"{{plainlist |* 380,000 troops (by 23 July)|sfn|Zetterling|2000|p|=|32|&nbsp;– 1,000,000 (by the end of August)|sfn|Shulman|2007|p|=|192|* 2,200|sfn|Shulman|2007|p|=|192|&nbsp;– 2,500 tanks and assault guns|sfn|Wilmot|1997|p|=|434|sfn|Buckley|2006|pp|=|117–120|}}","{{plainlist |* 288,695|sfn|Zetterling|2000|p|=|77|* 2,127 aircraft|sfn|Tamelander|Zetterling|2003|pp|=|342–343|* ~2,200–2,400 tanks and assault guns lost|sfn|Wilmot|1997|p|=|434|}}"
{{plainlist |* '''Allies of World War II|Western Allies'''* |flag|United States|1912|* |flag|United Kingdom|* |flag|Canada|1921|* |flagicon|Free French| Free French Forces* |flagicon|Poland| Polish Armed Forces in the West|Polish Forces|sfn|Beevor|2009|p|=|82|* |flagicon|Free French| French Resistance* |flag|Australia|* |flagicon|Belgium| Free Belgian Forces|sfn|Williams|1988|p|=|x|* |flagicon|Czechoslovakia| Czechoslovak government-in-exile|Free Czechoslovak Forces|sfn|Beevor|2009|p|=|492|* |flagicon|Greece|royal| Greek government-in-exile|Free Greek Forces|sfn|US Navy website|* |flagicon|Luxembourg| Free Luxembourgish forces|Free Luxembourgish Forces|sfn|Luxembourg Army website|* |flagicon|Netherlands| Dutch government-in-exile|Free Dutch Forces|sfn|Williams|1988|p|=|x|* |flag|New Zealand|sfn|Beevor|2009|p|=|76|* |Flagicon|Norway| Nygaardsvold's Cabinet|Free Norwegian Forces|sfn|Beevor|2009|p|=|82|}},"{{plainlist |* |flagicon|United States|1912| Dwight D. Eisenhower(Supreme Allied Commander)* |flagicon|United Kingdom| Arthur Tedder, 1st Baron Tedder|Arthur Tedder(Deputy Supreme Allied Commander)* |flagicon|United Kingdom| Bernard Montgomery(Ground Forces Commander in Chief)* |flagicon|United Kingdom| Trafford Leigh-Mallory(Air Commander in Chief)* |flagicon|United Kingdom| Bertram Ramsay(Naval Commander in Chief)}}","{{plainlist |* 1,452,000 troops (by 25 July)|efn|name|=|Allied strength|* 2,052,299 (by the end of August)|sfn|Badsey|1990|p|=|85|}}","{{plainlist |* 226,386 casualties|sfn|Tamelander|Zetterling|2003|p|=|341|efn|name|=|Allied air casualties|* 4,101 aircraft|sfn|Tamelander|Zetterling|2003|p|=|341|* ~4,000 tanks|sfn|Tamelander|Zetterling|2003|p|=|342|}}",{{flagcountry|Nazi Germany|1935}},{{plainlist |* |flagicon|Nazi Germany|1935| Gerd von Rundstedt (''OB West|Oberbefehlshaber West'')* |flagicon|Nazi Germany|1935| Erwin Rommel (Army Group B)}},"{{plainlist |* 380,000 troops (by 23 July)|sfn|Zetterling|2000|p|=|32|&nbsp;– 1,000,000 (by the end of August)|sfn|Shulman|2007|p|=|192|* 2,200|sfn|Shulman|2007|p|=|192|&nbsp;– 2,500 tanks and assault guns|sfn|Wilmot|1997|p|=|434|sfn|Buckley|2006|pp|=|117–120|}}","{{plainlist |* 288,695|sfn|Zetterling|2000|p|=|77|* 2,127 aircraft|sfn|Tamelander|Zetterling|2003|pp|=|342–343|* ~2,200–2,400 tanks and assault guns lost|sfn|Wilmot|1997|p|=|434|}}"
{{flag|United Kingdom}},{{flagicon|United States|1912}},"1,332,000 (by 24 July)ref name=""Tamelander, M 2004 p. 295""Tamelander, M, Zetterling, N (2004), ''Avg&#246;randes &#214;gonblick: Invasionen i Normandie''. Norstedts F&#246;rlag, p. 295&lt;/ref&gt;","'''by 24 July:'''≈120,000 casualtiesref name=""Tamelander, M 2004 p. 295"" ",{{flagcountry|Nazi Germany|name|=|Germany}},{{flagicon|Nazi Germany}},{{Sfn|Zetterling|2000|p|=|32}},"'''by 24 July:'''113,059 casualtiesref name=""Tamelander, M 2004 p. 295"" "
{{flag|United Kingdom}},{{ubl|Flag icon|United Kingdom|Bernard Montgomery| Miles Dempsey}},3 armoured divisions11 infantry divisions5 armoured brigades3 tank brigades,"{{circa|50,539 casualties}}",{{flagcountry|Nazi Germany|1935}},{{ubl|Flag icon|Nazi Germany|Erwin Rommel|Friedrich Dollmann|KIA|Paul Hausser|Leo Geyr von Schweppenburg|Sepp Dietrich}},7 infantry divisions8 panzer divisions3 heavy tank battalions,"{{efn|German casualties at Caen are unknown due to the loss of records. By 24 July German losses in Normandy were 113,059 (Tamelander, M, Zetterling, N (2004), ''Avgörandes Ögonblick: Invasionen i Normandie''. Norstedts Förlag, p. 295)}}"
{{flag|United Kingdom}},{{flagicon|United Kingdom}},1 armoured division2 infantry divisions2 armoured brigades,,{{flag|Nazi Germany|name|=|Germany}},{{flagicon|Germany|Nazi}},3 panzer divisions1 infantry division1 heavy tank battalion,
{{flag|United Kingdom}},{{flagicon|United Kingdom}},{{circa|60 tanks}},~217 casualties23–27 tanks,{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},2 ad-hoc battle groupsElements of 1 German heavy tank battalion|heavy tank battalion31–41 tanks,Unknown total casualties8–15 tanks
{{Flag|United States|1912}},{{flagicon|United States|1912}},Unknown,"8,500 killed or missing:2,800 killed,5,700 missing,13,500 woundedTotal: 22,000 casualties",{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},40000,"7,000 – 8,000 killed or missing30,000 capturedTotal: 37,000-38,000 casualties"
{{flag|United States|1912}},{{flagicon|United States|1912}},11 airborne forces|airborne infantry battalions1 tank battalion1 mechanized infantry battalion,,{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},2 parachute infantry battalions2 Ostlegionen|Ost infantry battalions2 panzergrenadier battalions1 panzer battalion with assault guns,
